millisecs |yr|mo|da|hr|mi|se|volt   |ampere |watt   
0000000028|21|02|23|10|03|14|039.820|000.074|002.948
0000000085|21|02|23|10|03|15|039.799|000.014|000.589
0000000185|21|02|23|10|03|15|039.799|000.044|001.768
0000000284|21|02|23|10|03|15|039.841|000.059|002.360
0000000384|21|02|23|10|03|15|039.825|000.029|001.179
0000000485|21|02|23|10|03|15|039.825|000.007|000.294
0000000584|21|02|23|10|03|16|039.809|000.044|001.768
0000000684|21|02|23|10|03|16|039.799|000.029|001.178
0000000785|21|02|23|10|03|16|039.809|000.029|001.179
0000000884|21|02|23|10|03|16|039.793|000.059|002.357
0000000984|21|02|23|10|03|16|039.799|000.111|004.420
0000001085|21|02|23|10|03|16|039.815|000.022|000.884
0000001185|21|02|23|10|03|16|039.809|000.022|000.884
0000001285|21|02|23|10|03|16|039.836|000.014|000.590
0000001385|21|02|23|10|03|16|039.809|000.051|002.063
0000001485|21|02|23|10|03|16|039.820|000.022|000.884
0000001585|21|02|23|10|03|17|039.809|000.044|001.768
0000001685|21|02|23|10|03|17|039.799|000.022|000.884
0000001785|21|02|23|10|03|17|039.799|000.037|001.473
0000001885|21|02|23|10|03|17|039.825|000.037|001.474
0000001985|21|02|23|10|03|17|039.809|000.007|000.294
0000002085|21|02|23|10|03|17|039.836|000.022|000.885
0000002186|21|02|23|10|03|17|039.799|000.022|000.884
0000002285|21|02|23|10|03|17|039.793|000.103|004.125
0000002385|21|02|23|10|03|17|039.825|000.007|000.294
0000002486|21|02|23|10|03|17|039.825|000.014|000.589
0000002585|21|02|23|10|03|18|039.793|000.066|002.652
0000002685|21|02|23|10|03|18|039.836|000.014|000.590
0000002786|21|02|23|10|03|18|039.793|000.051|002.062
0000002885|21|02|23|10|03|18|039.799|000.088|003.536
0000002985|21|02|23|10|03|18|039.825|000.044|001.769
0000003086|21|02|23|10|03|18|039.825|000.081|003.244
0000003185|21|02|23|10|03|18|039.799|000.044|001.768
0000003285|21|02|23|10|03|18|039.820|000.029|001.179
0000003386|21|02|23|10|03|18|039.815|000.081|003.243
0000003485|21|02|23|10|03|18|039.793|000.066|002.652
0000003585|21|02|23|10|03|19|039.825|000.029|001.179
0000003686|21|02|23|10|03|19|039.799|000.044|001.768
0000003785|21|02|23|10|03|19|039.804|000.044|001.768
0000003885|21|02|23|10|03|19|039.793|000.051|002.062
0000003986|21|02|23|10|03|19|039.793|000.059|002.357
0000004086|21|02|23|10|03|19|039.825|000.037|001.474
0000004186|21|02|23|10|03|19|039.825|000.000|000.000
0000004286|21|02|23|10|03|19|039.793|000.051|002.062
0000004386|21|02|23|10|03|19|039.809|000.088|003.537
0000004486|21|02|23|10|03|19|039.793|000.051|002.062
0000004586|21|02|23|10|03|20|039.793|000.029|001.178
0000004686|21|02|23|10|03|20|039.799|000.044|001.768
0000004786|21|02|23|10|03|20|039.825|000.051|002.064
0000004886|21|02|23|10|03|20|039.804|000.014|000.589
0000004986|21|02|23|10|03|20|039.809|000.014|000.589
0000005087|21|02|23|10|03|20|039.809|000.022|000.884
0000005186|21|02|23|10|03|20|039.804|000.059|002.358
0000005286|21|02|23|10|03|20|039.793|000.059|002.357
0000005387|21|02|23|10|03|20|039.825|000.074|002.949
0000005486|21|02|23|10|03|20|039.793|000.007|000.294
0000005586|21|02|23|10|03|21|039.815|000.088|003.538
0000005687|21|02|23|10|03|21|039.793|000.044|001.768
0000005786|21|02|23|10|03|21|039.799|000.014|000.589
0000005886|21|02|23|10|03|21|039.815|000.096|003.833
0000005987|21|02|23|10|03|21|039.788|000.029|001.178
0000006086|21|02|23|10|03|21|039.825|000.088|003.539
0000006186|21|02|23|10|03|21|039.809|000.051|002.063
0000006287|21|02|23|10|03|21|039.793|000.014|000.589
0000006386|21|02|23|10|03|21|039.793|000.029|001.178
0000006486|21|02|23|10|03|21|039.799|000.022|000.884
0000006587|21|02|23|10|03|22|039.799|000.022|000.884
0000006686|21|02|23|10|03|22|039.825|000.059|002.359
0000006786|21|02|23|10|03|22|039.831|000.029|001.179
0000006887|21|02|23|10|03|22|039.809|000.051|002.063
0000006987|21|02|23|10|03|22|039.793|000.029|001.178
0000007087|21|02|23|10|03|22|039.804|000.007|000.294
0000007187|21|02|23|10|03|22|039.825|000.051|002.064
0000007287|21|02|23|10|03|22|039.799|000.074|002.947
0000007387|21|02|23|10|03|22|039.809|000.044|001.768
0000007487|21|02|23|10|03|22|039.815|000.059|002.358
0000007587|21|02|23|10|03|23|039.836|000.059|002.360
0000007687|21|02|23|10|03|23|039.809|000.051|002.063
0000007787|21|02|23|10|03|23|039.820|000.081|003.243
0000007887|21|02|23|10|03|23|039.820|000.059|002.359
0000007987|21|02|23|10|03|23|039.820|000.081|003.243
0000008087|21|02|23|10|03|23|039.820|000.044|001.769
0000008187|21|02|23|10|03|23|039.793|000.044|001.768
0000008288|21|02|23|10|03|23|039.804|000.059|002.358
0000008387|21|02|23|10|03|23|039.799|000.022|000.884
0000008487|21|02|23|10|03|23|039.793|000.044|001.768
0000008588|21|02|23|10|03|24|039.809|000.096|003.832
0000008687|21|02|23|10|03|24|039.788|000.044|001.767
0000008787|21|02|23|10|03|24|039.799|000.037|001.473
0000008888|21|02|23|10|03|24|039.825|000.081|003.244
0000008987|21|02|23|10|03|24|039.804|000.059|002.358
0000009087|21|02|23|10|03|24|039.809|000.037|001.474
0000009188|21|02|23|10|03|24|039.809|000.037|001.474
0000009287|21|02|23|10|03|24|039.815|000.081|003.243
0000009387|21|02|23|10|03|24|039.804|000.051|002.063
0000009488|21|02|23|10|03|24|039.804|000.007|000.294
0000009587|21|02|23|10|03|25|039.815|000.051|002.063
0000009687|21|02|23|10|03|25|039.793|000.044|001.768
0000009788|21|02|23|10|03|25|039.820|000.051|002.064
0000009887|21|02|23|10|03|25|039.793|000.044|001.768
0000009987|21|02|23|10|03|25|039.809|000.044|001.768
0000010087|21|02|23|10|03|25|039.820|000.000|000.000
0000010187|21|02|23|10|03|25|039.799|000.081|003.242
0000010287|21|02|23|10|03|25|039.809|000.044|001.768
0000010387|21|02|23|10|03|25|039.804|000.007|000.294
0000010487|21|02|23|10|03|25|039.783|000.088|003.535
0000010587|21|02|23|10|03|26|039.809|000.059|002.358
